,GameKey,PlayID,Primary_Impact_Type
0,5,3129,Helmet-to-body
1,21,2587,Helmet-to-helmet
2,29,538,Helmet-to-body
3,45,1212,Helmet-to-body
4,54,1045,Helmet-to-body
5,60,905,Helmet-to-helmet
6,144,2342,Helmet-to-body
7,149,3663,Helmet-to-body
8,189,3509,Helmet-to-helmet
9,218,3468,Helmet-to-ground
10,231,1976,Helmet-to-helmet
11,234,3278,Helmet-to-body
12,266,2902,Helmet-to-body
13,274,3609,Helmet-to-helmet
14,280,2918,Helmet-to-body
15,281,1526,Helmet-to-body
16,289,2341,Helmet-to-helmet
17,296,2667,Helmet-to-helmet
18,357,3630,Helmet-to-body
19,364,2489,Helmet-to-helmet
20,384,183,Helmet-to-body
21,392,1088,Helmet-to-body
22,397,1526,Helmet-to-helmet
23,399,3312,Helmet-to-body
24,414,1262,Helmet-to-ground
25,448,2792,Helmet-to-body
26,473,2072,Helmet-to-body
27,506,1988,Helmet-to-helmet
28,553,1683,Helmet-to-helmet
29,567,1407,Helmet-to-helmet
30,585,2208,Helmet-to-helmet
31,601,602,Helmet-to-helmet
32,607,978,Helmet-to-helmet
33,618,2792,Helmet-to-body
